hour,count,method,mae,rmse,mase,bias
0,179,seasonal_naive,39.22346369,60.37328019,0.73017702,0.83240223
1,177,seasonal_naive,32.75706215,48.86277337,0.60979964,-1.05084746
2,177,seasonal_naive,25.23163842,39.66925406,0.46970769,-0.29378531
3,166,seasonal_naive,12.90361446,19.3044723,0.24021139,-0.1686747
4,173,seasonal_naive,3.69364162,5.11994852,0.06876018,-0.0982659
5,177,seasonal_naive,11.51977401,15.70400647,0.21445006,0.27683616
6,177,seasonal_naive,45.53107345,64.97113657,0.84759836,1.29378531
7,177,seasonal_naive,140.69491525,199.37156918,2.61915151,3.71186441
8,177,seasonal_naive,197.81920904,297.97618682,3.68256719,5.03954802
9,177,seasonal_naive,61.94915254,87.4871742,1.1532344,1.18079096
10,177,seasonal_naive,78.54237288,112.42252825,1.46213084,-0.97175141
11,177,seasonal_naive,95.8700565,137.04712786,1.78469991,-1.70056497
12,177,seasonal_naive,108.36723164,151.1193826,2.0173451,-1.79096045
13,179,seasonal_naive,114.11173184,160.72513752,2.12428369,-1.29608939
14,179,seasonal_naive,113.76536313,159.6493714,2.11783576,-1.6424581
15,179,seasonal_naive,108.92178771,147.56396208,2.02766862,-1.44692737
16,179,seasonal_naive,83.41340782,119.54034405,1.55280916,0.86592179
17,179,seasonal_naive,150.01117318,212.44798246,2.79258131,5.91061453
18,179,seasonal_naive,154.7877095,213.78500399,2.88150046,5.49162011
19,179,seasonal_naive,103.2849162,136.13331455,1.92273362,4.26815642
20,179,seasonal_naive,74.33519553,100.7630663,1.38381077,3.10614525
21,179,seasonal_naive,58.82122905,82.09597191,1.09500553,2.11731844
22,179,seasonal_naive,51.16201117,70.54140192,0.9524229,1.41899441
23,179,seasonal_naive,40.69273743,55.81043334,0.75752876,0.82681564
0,179,ridge,27.76406981,40.44099188,0.51685098,-1.1636707
1,177,ridge,20.55865384,28.17338548,0.38271624,0.7765941
2,177,ridge,17.22092306,23.62901632,0.32058164,3.64181148
3,166,ridge,12.68292447,18.30115089,0.23610307,5.7332991
4,173,ridge,11.61247189,15.17313224,0.21617571,7.54360694
5,177,ridge,13.82499121,17.692777,0.25736358,5.61235958
6,177,ridge,30.58151754,40.11579644,0.56930009,2.10790452
7,177,ridge,91.71097083,123.87596863,1.70727511,-8.14928063
8,177,ridge,132.18048846,182.56081923,2.46064845,-21.90257225
9,177,ridge,53.73667337,73.65697769,1.00035235,-9.73074996
10,177,ridge,52.14922589,70.85643815,0.97080071,-5.70357231
11,177,ridge,61.49638437,83.0749411,1.14480575,-9.27592558
12,177,ridge,76.34579011,101.30464472,1.42123964,-13.16484421
13,179,ridge,79.40924226,109.37618248,1.47826832,-12.49052205
14,179,ridge,81.23017402,111.7330856,1.51216646,-10.88760725
15,179,ridge,83.06463542,112.08172221,1.54631647,-12.08027163
16,179,ridge,79.85457486,111.88069903,1.48655856,-16.62374602
17,179,ridge,124.40851541,163.21200196,2.31596678,-25.96862211
18,179,ridge,117.20945328,153.97036633,2.18195033,-20.777596
19,179,ridge,79.41702872,105.01219919,1.47841327,-7.91680945
20,179,ridge,57.66799199,75.91189207,1.07353708,0.17914809
21,179,ridge,47.63189477,64.22747822,0.88670688,5.65206334
22,179,ridge,40.53300366,57.11909846,0.75455518,9.36436665
23,179,ridge,34.58088784,44.37233078,0.64375165,12.53922038
0,179,random_forest,33.46105494,50.37912946,0.62290504,11.67742789
1,177,random_forest,19.37435775,27.30243925,0.3606696,4.23939728
2,177,random_forest,12.5361563,19.07664086,0.23337085,4.86118458
3,166,random_forest,8.29308647,12.32317085,0.15438262,4.93583426
4,173,random_forest,4.0588023,5.79781673,0.07555794,2.60364984
5,177,random_forest,13.69232578,17.84901864,0.2548939,9.77726691
6,177,random_forest,27.04762051,37.36746895,0.50351369,10.51020009
7,177,random_forest,79.22351828,108.59962728,1.47481092,13.42334807
8,177,random_forest,126.22950653,176.69888826,2.34986603,-50.96150779
9,177,random_forest,54.53867343,74.41057678,1.01528224,-1.10268378
10,177,random_forest,45.76944728,64.23224264,0.85203589,-5.18302716
11,177,random_forest,64.86675794,89.57684976,1.20754802,-9.42467876
12,177,random_forest,79.4019387,109.32830767,1.47813236,-20.70893509
13,179,random_forest,87.76491631,121.68996218,1.63381606,-22.85873916
14,179,random_forest,87.30281605,120.82081462,1.62521369,-18.82650578
15,179,random_forest,83.62766307,112.98463588,1.55679769,-20.82478952
16,179,random_forest,82.29341796,113.29830591,1.53195962,-18.93308587
17,179,random_forest,164.35060156,196.53209321,3.05952155,-85.50762247
18,179,random_forest,140.33458646,173.72694908,2.61244369,-55.18571773
19,179,random_forest,78.25609259,102.31828317,1.45680149,6.59323056
20,179,random_forest,59.0087868,79.42941892,1.09849707,3.52204171
21,179,random_forest,48.39492907,65.60009195,0.90091139,8.23098391
22,179,random_forest,43.89523024,60.27567703,0.8171458,14.38127775
23,179,random_forest,37.55015653,49.08076156,0.69902703,14.86063514
0,179,hist_gradient_boosting,27.03079992,41.82620246,0.50320056,-5.95891411
1,177,hist_gradient_boosting,19.88520465,27.12163755,0.37017943,-7.04306534
2,177,hist_gradient_boosting,12.98501413,18.65293197,0.24172671,-4.7910645
3,166,hist_gradient_boosting,8.85705243,12.39673938,0.16488131,-3.58071501
4,173,hist_gradient_boosting,7.2980986,8.36049398,0.1358601,-4.24192362
5,177,hist_gradient_boosting,10.79778974,13.73481843,0.20100973,-7.51253371
6,177,hist_gradient_boosting,24.48484075,32.96737789,0.45580544,-4.35375854
7,177,hist_gradient_boosting,72.67704711,104.6018898,1.35294298,-3.95029545
8,177,hist_gradient_boosting,155.29838632,192.44524637,2.89100712,-92.0344609
9,177,hist_gradient_boosting,57.64351404,77.19822994,1.0730814,-9.96332801
10,177,hist_gradient_boosting,56.4093573,72.02835089,1.05010656,-22.13835643
11,177,hist_gradient_boosting,80.81091406,105.88851808,1.5043616,-37.39503208
